CamCarcacas2;
2026-08-01 00:00;2026-08-02 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-08-01 00:00:00.0;OFF;ON;100;-3,30;-4;-0,80;8,80;96,10;119,30;2,50;5;100;-0,90;-1,30;
2026-08-01 00:01:00.0;OFF;ON;100;-3,40;-4;-0,80;8,80;96;119,30;2,60;5;99,60;-0,90;-1,30;
2026-08-01 00:02:00.0;OFF;ON;100;-3,40;-4;-0,80;8,80;96;119,30;2,60;5;99,60;-0,90;-1,30;
2026-08-01 00:03:00.0;OFF;ON;100;-3,30;-4;-0,80;8,80;96,10;119,20;2,50;5;100;-0,90;-1,30;
2026-08-01 00:04:00.0;OFF;ON;100;-3,40;-4;-0,80;8,70;96,10;119,30;2,60;5;99,60;-0,90;-1,30;
2026-08-01 00:05:00.0;OFF;ON;100;-3,40;-4;-0,80;8,70;96;119,30;2,60;5;99,60;-0,90;-1,30;
2026-08-01 00:06:00.0;OFF;ON;100;-3,40;-4;-0,80;8,70;96;119,30;2,60;5;99,60;-0,90;-1,30;
2026-08-01 00:07:00.0;OFF;ON;100;-3,40;-4;-0,80;8,70;96,10;119,30;2,60;5;99,70;-0,90;-1,30;
2026-08-01 00:08:00.0;OFF;ON;100;-3,30;-4;-0,80;8,60;96,10;119,20;2,50;5;100;-0,90;-1,30;
2026-08-01 00:09:00.0;OFF;ON;100;-3,30;-4;-0,80;8,60;96;119,30;2,50;5;100;-0,90;-1,40;
2026-08-01 00:10:00.0;OFF;ON;100;-3,30;-4;-0,80;8,60;96;119,30;2,50;5;100;-0,90;-1,40;
2026-08-01 00:11:00.0;OFF;ON;100;-3,40;-4;-0,90;8,60;96;119,30;2,50;5;99,70;-0,90;-1,40;
2026-08-01 00:12:00.0;OFF;ON;100;-3,40;-4;-0,90;8,50;96;119,30;2,60;5;99,60;-0,90;-1,40;
2026-08-01 00:13:00.0;OFF;ON;100;-3,40;-4;-0,90;8,50;96;119,30;2,50;5;99,70;-0,90;-1,40;
2026-08-01 00:14:00.0;OFF;ON;100;-3,40;-4;-0,90;8,50;96;119,30;2,50;5;100;-0,90;-1,40;
2026-08-01 00:15:00.0;OFF;ON;100;-3,40;-4;-0,90;8,50;96;119,30;2,50;5;100;-0,90;-1,40;
2026-08-01 00:16:00.0;OFF;ON;100;-3,80;-4;-0,90;8,40;95,90;119,30;2,90;5;98,80;-0,90;-1,40;
2026-08-01 00:17:00.0;OFF;ON;100;-3,80;-4;-0,90;8,40;95,90;119,20;2,90;5;98,80;-1;-1,50;
2026-08-01 00:18:00.0;OFF;ON;100;-3,40;-4;-1;8,40;95,70;119,30;2,40;5;100;-1;-1,60;
2026-08-01 00:19:00.0;OFF;ON;100;-3,20;-4;-0,90;8,30;95,80;119,30;2,20;5;100;-1;-1,40;
2026-08-01 00:20:00.0;OFF;ON;100;-3,10;-4;-0,90;8,30;95,90;119,30;2,20;5;99,60;-1;-1,40;
2026-08-01 00:21:00.0;OFF;ON;100;-3,10;-4;-0,90;8,30;96,10;119,20;2,20;5;99,60;-0,90;-1,30;
2026-08-01 00:22:00.0;OFF;ON;100;-3,10;-4;-0,80;8,30;96,30;119,20;2,30;5;99,20;-0,90;-1,20;
2026-08-01 00:23:00.0;OFF;ON;100;-3,10;-4;-0,80;8,30;96,50;119,30;2,30;5;100;-0,90;-1,20;
2026-08-01 00:24:00.0;OFF;ON;100;-3;-4;-0,80;8,20;96,40;119,30;2,20;5;99,60;-0,90;-1,20;
2026-08-01 00:25:00.0;OFF;ON;100;-3,30;-4;-0,80;8,20;96,40;119,20;2,50;5;98,80;-0,90;-1,20;
2026-08-01 00:26:00.0;OFF;ON;100;-3,40;-4;-0,80;8,20;96,40;119,30;2,60;5;99,20;-0,90;-1,30;
2026-08-01 00:27:00.0;OFF;ON;100;-3,40;-4;-0,90;8,20;96,10;119,20;2,60;5;99,70;-0,90;-1,40;
2026-08-01 00:28:00.0;OFF;ON;100;-3,40;-4;-0,90;8,10;96;119,30;2,50;5;99,80;-1;-1,40;
2026-08-01 00:29:00.0;OFF;ON;100;-3,30;-4;-0,90;8,10;95,90;119,30;2,40;5;100;-1;-1,40;
2026-08-01 00:30:00.0;OFF;ON;100;-3,40;-4;-0,90;8,10;96,10;119,20;2,50;5;99,70;-1;-1,40;
2026-08-01 00:31:00.0;OFF;ON;100;-3,30;-4;-0,90;8;96;119,30;2,40;5;100;-1;-1,40;
2026-08-01 00:32:00.0;OFF;ON;100;-3,30;-4;-0,90;8;96;119,30;2,40;5;100;-1;-1,40;
2026-08-01 00:33:00.0;OFF;ON;100;-3,30;-4;-0,90;8;96,10;119,30;2,40;5;100;-1;-1,40;
2026-08-01 00:34:00.0;OFF;ON;100;-3,40;-4;-0,90;8;96;119,30;2,40;5;99,70;-1;-1,40;
2026-08-01 00:35:00.0;OFF;ON;100;-3,30;-4;-0,90;8;96;119,30;2,30;5;100;-1;-1,40;
2026-08-01 00:36:00.0;OFF;ON;100;-3,30;-4;-0,90;7,90;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:37:00.0;OFF;ON;100;-3,30;-4;-0,90;7,90;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:38:00.0;OFF;ON;100;-3,30;-4;-0,90;7,90;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:39:00.0;OFF;ON;100;-3,30;-4;-0,90;7,90;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:40:00.0;OFF;ON;100;-3,40;-4;-0,90;7,80;96;119,20;2,40;5;99,70;-1;-1,40;
2026-08-01 00:41:00.0;OFF;ON;100;-3,30;-4;-0,90;7,80;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:42:00.0;OFF;ON;100;-3,40;-4;-1;7,80;95,90;119,30;2,40;5;99,80;-1;-1,40;
2026-08-01 00:43:00.0;OFF;ON;100;-3,30;-4;-1;7,80;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:44:00.0;OFF;ON;100;-3,40;-4;-1;7,70;95,90;119,20;2,50;5;99,60;-1;-1,40;
2026-08-01 00:45:00.0;OFF;ON;100;-3,40;-4;-1;7,70;95,90;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:46:00.0;OFF;ON;100;-3,30;-4;-1;7,70;96;119,30;2,40;5;100;-1;-1,40;
2026-08-01 00:47:00.0;OFF;ON;100;-3,30;-4;-1;7,70;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:48:00.0;OFF;ON;100;-3,40;-4;-1;7,60;96;119,20;2,40;5;99,60;-1;-1,40;
2026-08-01 00:49:00.0;OFF;ON;100;-3,40;-4;-1;7,60;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:50:00.0;OFF;ON;100;-3,40;-4;-1;7,60;96;119,30;2,40;5;99,80;-1;-1,40;
2026-08-01 00:51:00.0;OFF;ON;100;-3,40;-4;-1;7,60;96;119,20;2,40;5;99,80;-1;-1,40;
2026-08-01 00:52:00.0;OFF;ON;100;-3,40;-4;-1;7,50;95,90;119,20;2,40;5;99,70;-1;-1,40;
2026-08-01 00:53:00.0;OFF;ON;100;-3,30;-4;-1;7,50;96;119,20;2,30;5;100;-1,10;-1,40;
2026-08-01 00:54:00.0;OFF;ON;100;-3,40;-4;-1;7,50;96;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:55:00.0;OFF;ON;100;-3,40;-4;-1;7,50;95,90;119,20;2,40;5;100;-1;-1,40;
2026-08-01 00:56:00.0;OFF;ON;100;-3,40;-4;-1;7,40;96;119,20;2,40;5;99,80;-1,10;-1,40;
2026-08-01 00:57:00.0;OFF;ON;100;-3,30;-4;-1;7,40;96;119,20;2,30;5;100;-1,10;-1,40;
2026-08-01 00:58:00.0;OFF;ON;100;-3,60;-4;-1;7,40;96;119,30;2,60;5;99,30;-1,10;-1,50;
2026-08-01 00:59:00.0;OFF;ON;100;-3,90;-4;-1,10;7,40;95,80;119,20;2,80;5;98,80;-1,10;-1,60;
2026-08-01 01:00:00.0;OFF;ON;100;-3,90;-4;-1,10;7,30;95,70;119,30;2,80;5;98,90;-1,20;-1,70;
2026-08-01 01:01:00.0;OFF;ON;100;-3,80;-4;-1,10;7,30;95,50;119,30;2,70;5;99,20;-1,20;-1,70;
2026-08-01 01:02:00.0;OFF;ON;100;-3,80;-4;-1;7,30;95,40;119,30;2,80;5;99,40;-1,20;-1,70;
2026-08-01 01:03:00.0;OFF;ON;100;-3,70;-4;-1;7,30;95,40;119,30;2,70;5;99,60;-1,20;-1,70;
2026-08-01 01:04:00.0;OFF;ON;100;-3,70;-4;-1,10;7,20;95,60;119,20;2,60;5;99,60;-1,20;-1,60;
2026-08-01 01:05:00.0;OFF;ON;100;-3,60;-4;-1;7,20;95,70;119,30;2,50;5;100;-1,20;-1,60;
2026-08-01 01:06:00.0;OFF;ON;100;-3,50;-4;-1;7,20;95,70;119,20;2,50;5;99,70;-1,20;-1,60;
2026-08-01 01:07:00.0;OFF;ON;100;-3;-4;-1;7,20;95,90;119,20;2;5;100;-1,20;-1,40;
2026-08-01 01:08:00.0;OFF;ON;100;-3,10;-4;-0,90;7,10;96,20;119,20;2,10;5;99,70;-1,10;-1,40;
2026-08-01 01:09:00.0;OFF;ON;100;-2,90;-4;-0,90;7,10;96,50;119,20;2;5;100;-1;-1,30;
2026-08-01 01:10:00.0;OFF;ON;100;-2,90;-4;-0,90;7,10;96,60;119,20;2;5;100;-1;-1,30;
2026-08-01 01:11:00.0;OFF;ON;100;-3;-4;-0,90;7,10;96,60;119,20;2,10;5;99,60;-1;-1,20;
2026-08-01 01:12:00.0;OFF;ON;100;-2,90;-4;-0,90;7;96,60;119,20;2;5;100;-1;-1,20;
2026-08-01 01:13:00.0;OFF;ON;100;-2,90;-4;-0,80;7;96,60;119,20;2,10;5;100;-1;-1,20;
2026-08-01 01:14:00.0;OFF;ON;100;-2,90;-4;-0,80;7;96,50;119,20;2,10;5;99,80;-1;-1,20;
